"Rk","G","Game_Location","Opp","Game_Outcome","Team_Score","Opp_Score","FG_team","FGA_team","FG_percent_team","X3P_team","X3PA_team","X3P_percent_team","FT_team","FTA_team","FT_percent_team","ORB_team","TRB_team","AST_team","STL_team","BLK_team","TOV_team","PF_team","FG_opp","FGA_opp","FG_percent_opp","X3P_opp","X3PA_opp","X3P_percent_opp","FT_opp","FTA_opp","FT_percent_opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","Date","team_name"
21,21,"Away","BOS","L",95,128,30,77,0.39,7,22,0.318,28,35,0.8,9,36,18,5,1,13,21,49,92,0.533,17,31,0.548,13,16,0.813,12,47,30,4,4,10,27,2018-11-30,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
22,22,"Home","TOR","L",95,106,34,88,0.386,5,22,0.227,22,25,0.88,11,44,14,6,0,11,23,39,80,0.488,7,26,0.269,21,25,0.84,6,42,15,5,5,10,19,2018-12-01,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
23,23,"Away","BRK","W",99,97,38,88,0.432,4,15,0.267,19,20,0.95,14,55,15,5,4,9,17,39,99,0.394,10,40,0.25,9,16,0.563,17,50,17,5,2,7,20,2018-12-03,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
24,24,"Home","GSW","L",105,129,39,89,0.438,11,32,0.344,16,23,0.696,12,41,17,7,2,10,19,45,85,0.529,18,34,0.529,21,24,0.875,9,46,29,6,5,8,17,2018-12-05,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
25,25,"Home","SAC","L",110,129,43,81,0.531,10,26,0.385,14,19,0.737,7,35,20,4,0,16,17,56,98,0.571,13,29,0.448,4,7,0.571,10,35,31,6,5,9,18,2018-12-07,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
26,26,"Home","WAS","W",116,101,47,89,0.528,15,31,0.484,7,10,0.7,12,49,26,5,5,7,20,38,86,0.442,14,38,0.368,11,16,0.688,8,33,26,3,3,8,12,2018-12-08,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
27,27,"Away","MIL","L",92,108,36,96,0.375,10,30,0.333,10,15,0.667,8,46,24,5,2,9,15,42,96,0.438,15,36,0.417,9,11,0.818,12,58,22,4,4,14,24,2018-12-10,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
28,28,"Home","NYK","W",113,106,43,91,0.473,10,34,0.294,17,21,0.81,12,51,19,7,4,12,18,41,94,0.436,11,27,0.407,13,14,0.929,9,43,21,7,7,12,18,2018-12-12,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
29,29,"Home","MIL","L",102,114,35,87,0.402,13,36,0.361,19,21,0.905,13,50,24,7,2,15,24,40,94,0.426,12,41,0.293,22,28,0.786,14,53,26,9,6,9,17,2018-12-14,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
30,30,"Home","PHI","L",105,128,41,88,0.466,12,30,0.4,11,17,0.647,6,33,28,8,0,12,20,51,91,0.56,11,27,0.407,15,20,0.75,12,48,32,5,9,10,18,2018-12-16,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
31,31,"Away","IND","W",92,91,38,91,0.418,6,31,0.194,10,13,0.769,12,51,19,7,5,9,16,37,93,0.398,4,22,0.182,13,21,0.619,14,52,21,7,9,9,12,2018-12-18,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
32,32,"Away","CHO","L",99,110,41,85,0.482,10,23,0.435,7,12,0.583,4,35,24,8,6,7,18,47,92,0.511,10,25,0.4,6,9,0.667,13,51,24,4,5,12,14,2018-12-19,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
33,33,"Away","TOR","L",110,126,39,82,0.476,9,24,0.375,23,30,0.767,11,40,20,5,5,11,23,48,91,0.527,9,31,0.29,21,26,0.808,13,44,21,9,5,8,23,2018-12-21,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
34,34,"Home","CHI","L",92,112,38,84,0.452,7,23,0.304,9,14,0.643,7,31,11,5,2,11,20,43,78,0.551,11,22,0.5,15,17,0.882,7,43,26,7,3,11,19,2018-12-23,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
35,35,"Away","MEM","L",87,95,33,93,0.355,9,29,0.31,12,15,0.8,19,53,19,9,1,16,21,36,72,0.5,5,22,0.227,18,24,0.75,3,34,22,7,9,12,16,2018-12-26,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
36,36,"Away","MIA","L",94,118,31,81,0.383,13,37,0.351,19,22,0.864,9,42,21,6,2,14,15,48,91,0.527,10,31,0.323,12,16,0.75,10,45,29,8,5,7,21,2018-12-28,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
37,37,"Away","ATL","L",108,111,40,85,0.471,5,23,0.217,23,29,0.793,10,44,27,9,2,12,23,43,98,0.439,10,37,0.27,15,25,0.6,17,53,27,7,4,13,25,2018-12-29,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
38,38,"Home","MIA","L",92,117,34,75,0.453,13,31,0.419,11,13,0.846,2,22,23,8,3,12,16,44,86,0.512,16,31,0.516,13,17,0.765,13,47,29,8,3,13,13,2019-01-02,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
39,39,"Home","UTA","L",91,117,32,82,0.39,11,21,0.524,16,17,0.941,7,39,14,6,1,13,21,42,82,0.512,14,35,0.4,19,22,0.864,8,47,28,6,9,11,19,2019-01-04,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
40,40,"Home","NOP","L",98,133,36,88,0.409,12,33,0.364,14,18,0.778,10,34,22,12,3,17,23,47,81,0.58,14,27,0.519,25,29,0.862,10,44,29,13,7,14,18,2019-01-05,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
41,41,"Home","IND","L",115,123,41,76,0.539,13,29,0.448,20,23,0.87,8,35,24,4,3,16,20,49,91,0.538,10,26,0.385,15,19,0.789,6,32,34,11,0,6,18,2019-01-08,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
42,42,"Away","NOP","L",124,140,42,88,0.477,14,30,0.467,26,30,0.867,9,31,27,7,3,13,30,46,84,0.548,12,29,0.414,36,39,0.923,11,44,33,7,7,16,21,2019-01-09,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
43,43,"Away","HOU","L",113,141,40,89,0.449,9,33,0.273,24,26,0.923,6,39,24,12,4,13,24,46,89,0.517,20,52,0.385,29,32,0.906,8,45,28,8,9,15,18,2019-01-11,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
44,44,"Away","LAL","W",101,95,38,89,0.427,8,21,0.381,17,23,0.739,10,52,18,5,2,10,21,36,91,0.396,7,34,0.206,16,27,0.593,13,51,21,4,5,11,22,2019-01-13,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
45,45,"Away","POR","L",112,129,45,95,0.474,6,19,0.316,16,19,0.842,12,41,17,0,5,3,18,47,89,0.528,16,29,0.552,19,23,0.826,7,41,28,1,6,4,17,2019-01-16,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
46,46,"Away","UTA","L",99,115,36,87,0.414,7,24,0.292,20,26,0.769,6,37,16,9,3,14,19,44,85,0.518,13,37,0.351,14,15,0.933,8,48,33,6,5,19,22,2019-01-18,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
47,47,"Away","DEN","L",102,124,35,72,0.486,10,29,0.345,22,26,0.846,5,28,20,5,1,12,15,50,89,0.562,15,37,0.405,9,11,0.818,12,43,33,7,2,11,25,2019-01-19,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
48,48,"Home","CHI","L",88,104,31,87,0.356,6,27,0.222,20,29,0.69,11,38,16,8,4,14,18,36,76,0.474,15,30,0.5,17,22,0.773,8,50,24,8,2,18,26,2019-01-21,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
49,49,"Away","BOS","L",103,123,38,87,0.437,13,30,0.433,14,20,0.7,15,44,20,4,4,20,18,45,86,0.523,12,25,0.48,21,23,0.913,9,43,25,12,5,14,20,2019-01-23,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
50,50,"Home","MIA","L",94,100,37,85,0.435,10,30,0.333,10,13,0.769,9,42,23,8,2,13,21,37,79,0.468,9,23,0.391,17,25,0.68,11,47,19,6,4,14,18,2019-01-25,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
51,51,"Away","CHI","W",104,101,39,92,0.424,13,34,0.382,13,15,0.867,12,52,26,5,3,8,13,39,88,0.443,9,26,0.346,14,17,0.824,8,47,22,5,8,10,17,2019-01-27,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
52,52,"Home","WAS","W",116,113,45,84,0.536,15,34,0.441,11,24,0.458,7,48,30,3,2,15,21,42,87,0.483,12,36,0.333,17,23,0.739,3,36,31,8,1,6,22,2019-01-29,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
53,53,"Home","DAL","L",98,111,34,85,0.4,4,23,0.174,26,33,0.788,11,44,20,7,2,6,22,40,84,0.476,16,39,0.41,15,19,0.789,9,50,20,2,4,13,26,2019-02-02,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
54,54,"Home","BOS","L",96,103,40,96,0.417,9,33,0.273,7,8,0.875,15,47,21,6,0,12,17,40,82,0.488,9,26,0.346,14,14,1,8,42,29,10,10,13,14,2019-02-05,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
55,55,"Away","WAS","L",106,119,36,96,0.375,12,38,0.316,22,25,0.88,17,52,21,6,3,14,16,46,92,0.5,12,35,0.343,15,16,0.938,10,48,35,10,4,16,19,2019-02-08,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
56,56,"Away","IND","L",90,105,35,79,0.443,16,36,0.444,4,9,0.444,5,30,23,3,2,12,13,45,84,0.536,9,26,0.346,6,10,0.6,6,43,31,8,5,9,13,2019-02-09,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
57,57,"Home","NYK","W",107,104,38,95,0.4,14,44,0.318,17,19,0.895,17,56,20,6,2,18,16,42,92,0.457,7,26,0.269,13,20,0.65,10,46,21,8,9,10,17,2019-02-11,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
58,58,"Home","BRK","L",139,148,54,120,0.45,18,42,0.429,13,18,0.722,18,57,35,7,4,15,37,52,113,0.46,18,45,0.4,26,34,0.765,16,60,31,4,13,18,23,2019-02-13,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
59,59,"Home","PHO","W",111,98,42,85,0.494,13,36,0.361,14,20,0.7,10,51,34,11,4,15,23,35,84,0.417,10,32,0.313,18,25,0.72,11,38,26,12,6,17,18,2019-02-21,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
60,60,"Home","MEM","W",112,107,39,88,0.443,16,42,0.381,18,23,0.783,14,52,25,6,3,18,26,40,90,0.444,5,25,0.2,22,28,0.786,15,43,18,7,6,12,21,2019-02-23,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
61,61,"Home","POR","L",110,123,37,89,0.416,13,34,0.382,23,26,0.885,13,40,22,4,1,7,20,44,78,0.564,18,29,0.621,17,22,0.773,6,45,26,5,6,13,24,2019-02-25,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
62,62,"Away","NYK","W",125,118,41,80,0.513,14,34,0.412,29,36,0.806,8,40,24,5,3,11,20,46,95,0.484,11,32,0.344,15,23,0.652,14,40,26,4,3,8,28,2019-02-28,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
63,63,"Home","DET","L",93,129,27,79,0.342,13,34,0.382,26,32,0.813,9,33,15,7,1,12,19,47,87,0.54,20,37,0.541,15,17,0.882,9,51,27,5,8,9,24,2019-03-02,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
64,64,"Home","ORL","W",107,93,36,83,0.434,14,43,0.326,21,23,0.913,9,44,20,7,2,11,15,39,88,0.443,6,26,0.231,9,11,0.818,8,41,23,5,4,11,17,2019-03-03,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
65,65,"Away","BRK","L",107,113,35,87,0.402,16,38,0.421,21,29,0.724,11,47,23,7,3,17,22,43,91,0.473,12,33,0.364,15,26,0.577,11,50,21,5,7,14,22,2019-03-06,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
66,66,"Away","MIA","L",110,126,39,81,0.481,19,43,0.442,13,16,0.813,6,28,28,6,1,15,25,45,79,0.57,12,25,0.48,24,33,0.727,14,45,31,5,5,12,15,2019-03-08,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
67,67,"Home","TOR","W",126,101,44,94,0.468,18,41,0.439,20,21,0.952,11,51,27,8,1,12,19,40,84,0.476,11,39,0.282,10,17,0.588,6,43,20,8,3,20,24,2019-03-11,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
68,68,"Away","PHI","L",99,106,40,101,0.396,13,38,0.342,6,8,0.75,9,37,14,8,2,7,17,42,85,0.494,8,23,0.348,14,17,0.824,12,60,25,4,7,21,18,2019-03-12,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
69,69,"Away","ORL","L",91,120,35,86,0.407,7,31,0.226,14,15,0.933,8,43,13,4,4,15,18,45,93,0.484,14,31,0.452,16,21,0.762,12,50,31,11,3,9,14,2019-03-14,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
70,70,"Away","DAL","L",116,121,40,86,0.465,15,38,0.395,21,22,0.955,6,33,20,1,0,6,20,46,89,0.517,16,34,0.471,13,16,0.813,9,40,32,3,5,5,22,2019-03-16,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
71,71,"Home","DET","W",126,119,46,79,0.582,11,22,0.5,23,27,0.852,5,36,22,6,3,8,16,42,94,0.447,18,44,0.409,17,21,0.81,19,47,24,6,4,11,21,2019-03-18,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
72,72,"Home","MIL","W",107,102,39,93,0.419,11,39,0.282,18,24,0.75,13,54,18,4,6,11,17,36,91,0.396,13,32,0.406,17,21,0.81,11,51,24,9,7,9,16,2019-03-20,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
73,73,"Home","LAC","L",108,110,43,90,0.478,12,31,0.387,10,13,0.769,8,41,14,7,2,13,22,42,82,0.512,6,26,0.231,20,23,0.87,7,43,24,6,6,11,16,2019-03-22,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
74,74,"Away","MIL","L",105,127,41,96,0.427,11,41,0.268,12,17,0.706,12,45,23,6,1,12,21,48,87,0.552,15,41,0.366,16,21,0.762,4,45,26,8,7,9,13,2019-03-24,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
75,75,"Home","BOS","L",106,116,39,80,0.488,9,28,0.321,19,25,0.76,3,36,24,4,1,14,21,46,91,0.505,10,25,0.4,14,19,0.737,11,46,23,8,3,10,21,2019-03-26,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
76,76,"Away","SAS","L",110,116,45,92,0.489,12,29,0.414,8,10,0.8,14,49,18,6,1,14,20,45,85,0.529,14,33,0.424,12,17,0.706,4,33,27,8,6,11,14,2019-03-28,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
77,77,"Away","LAC","L",108,132,41,92,0.446,3,23,0.13,23,28,0.821,14,36,18,11,0,11,16,53,85,0.624,15,33,0.455,11,16,0.688,9,44,33,5,5,16,25,2019-03-30,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
78,78,"Away","PHO","L",113,122,45,99,0.455,8,22,0.364,15,22,0.682,18,48,17,5,3,9,24,46,84,0.548,13,37,0.351,17,20,0.85,5,40,28,1,11,13,22,2019-04-01,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
79,79,"Away","SAC","L",104,117,44,81,0.543,11,25,0.44,5,9,0.556,10,50,20,3,1,20,13,48,97,0.495,14,38,0.368,7,10,0.7,8,36,28,12,3,6,14,2019-04-04,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
80,80,"Away","GSW","L",114,120,43,97,0.443,7,30,0.233,21,23,0.913,12,48,21,9,1,5,11,46,87,0.529,20,37,0.541,8,8,1,4,38,29,2,8,13,21,2019-04-05,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
81,81,"Home","SAS","L",90,112,31,79,0.392,8,29,0.276,20,27,0.741,10,35,16,14,1,17,16,43,82,0.524,9,22,0.409,17,22,0.773,11,49,27,10,5,18,18,2019-04-07,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
82,82,"Home","CHO","L",97,124,40,89,0.449,11,30,0.367,6,8,0.75,14,41,24,3,2,14,18,45,78,0.577,22,44,0.5,12,17,0.706,5,37,35,8,7,10,13,2019-04-09,"https://www.basketball-reference.com/teams/CLE/2019/gamelog/"
1,1,"Away","PHO","L",100,121,38,88,0.432,10,33,0.303,14,20,0.7,10,38,28,7,5,9,16,44,81,0.543,19,34,0.559,14,16,0.875,6,44,35,5,2,11,22,2018-10-17,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
2,2,"Home","MIN","W",140,136,49,98,0.5,17,50,0.34,25,34,0.735,15,42,29,8,8,16,28,44,84,0.524,14,27,0.519,34,40,0.85,6,33,23,10,3,17,30,2018-10-20,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
3,3,"Home","CHI","W",115,109,40,93,0.43,15,47,0.319,20,21,0.952,13,41,25,8,2,15,16,41,80,0.513,13,23,0.565,14,21,0.667,7,34,18,6,4,19,29,2018-10-22,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
4,4,"Away","ATL","L",104,111,38,91,0.418,12,40,0.3,16,26,0.615,9,52,25,7,9,17,27,37,91,0.407,15,38,0.395,22,31,0.71,10,54,28,6,6,15,26,2018-10-24,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
5,5,"Away","TOR","L",107,116,38,92,0.413,12,30,0.4,19,24,0.792,10,44,22,6,6,14,17,44,91,0.484,11,27,0.407,17,20,0.85,12,50,23,10,5,12,22,2018-10-26,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
6,6,"Home","UTA","L",104,113,38,91,0.418,9,28,0.321,19,25,0.76,12,43,24,6,3,13,19,42,80,0.525,10,25,0.4,19,22,0.864,8,43,25,8,6,18,27,2018-10-28,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
7,7,"Away","SAS","L",108,113,43,91,0.473,10,34,0.294,12,17,0.706,8,49,15,9,3,22,21,42,91,0.462,9,20,0.45,20,21,0.952,5,41,27,17,2,17,19,2018-10-29,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
8,8,"Away","LAL","L",113,114,43,86,0.5,13,29,0.448,14,19,0.737,10,40,24,5,5,23,24,43,84,0.512,10,17,0.588,18,24,0.75,8,39,23,12,6,20,27,2018-10-31,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
9,9,"Home","NYK","L",106,118,40,81,0.494,11,29,0.379,15,24,0.625,11,40,22,6,1,18,28,46,84,0.548,7,29,0.241,19,26,0.731,10,40,26,13,4,12,24,2018-11-02,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
10,10,"Home","WAS","W",119,100,39,82,0.476,15,34,0.441,26,27,0.963,10,50,25,4,6,17,22,37,87,0.425,11,35,0.314,15,20,0.75,5,32,27,8,6,10,24,2018-11-06,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
11,11,"Away","UTA","L",102,117,29,73,0.397,8,24,0.333,36,40,0.9,12,49,14,3,4,24,27,43,89,0.483,13,37,0.351,18,26,0.692,8,35,31,12,10,11,32,2018-11-07,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
12,12,"Home","OKC","W",111,96,43,77,0.558,14,29,0.483,11,17,0.647,4,38,31,9,5,16,23,38,97,0.392,9,34,0.265,11,18,0.611,26,53,17,9,2,16,19,2018-11-10,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
13,13,"Away","CHI","W",103,98,37,79,0.468,10,33,0.303,19,29,0.655,7,49,18,11,7,19,22,35,89,0.393,8,33,0.242,20,22,0.909,8,45,16,11,3,17,26,2018-11-12,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
14,14,"Home","UTA","W",118,68,45,77,0.584,12,28,0.429,16,24,0.667,7,51,24,12,6,19,19,25,81,0.309,6,35,0.171,12,19,0.632,8,33,16,11,3,21,21,2018-11-14,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
15,15,"Home","GSW","W",112,109,40,86,0.465,10,34,0.294,22,34,0.647,8,46,18,6,5,10,18,42,94,0.447,9,33,0.273,16,17,0.941,12,47,24,6,6,12,27,2018-11-17,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
16,16,"Away","MEM","L",88,98,30,88,0.341,10,32,0.313,18,21,0.857,7,43,17,8,4,9,19,37,79,0.468,12,30,0.4,12,14,0.857,5,45,29,8,11,15,21,2018-11-19,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
17,17,"Home","BRK","W",119,113,38,78,0.487,11,27,0.407,32,41,0.78,8,45,21,10,3,13,20,42,94,0.447,14,42,0.333,15,21,0.714,16,42,23,8,2,14,31,2018-11-21,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
18,18,"Home","BOS","W",113,104,42,87,0.483,16,41,0.39,13,21,0.619,13,43,27,12,3,16,16,41,86,0.477,10,28,0.357,12,13,0.923,9,42,19,8,3,17,21,2018-11-24,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
19,19,"Away","HOU","W",128,108,46,85,0.541,17,34,0.5,19,24,0.792,10,37,27,10,7,14,17,40,87,0.46,13,45,0.289,15,23,0.652,15,38,28,10,5,16,26,2018-11-28,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
20,20,"Away","LAL","L",103,114,34,86,0.395,10,39,0.256,25,34,0.735,9,46,20,9,4,16,25,42,86,0.488,9,30,0.3,21,32,0.656,9,47,23,8,3,17,29,2018-11-30,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
21,21,"Home","LAC","W",114,110,42,95,0.442,8,23,0.348,22,26,0.846,17,64,20,6,5,16,21,42,95,0.442,9,24,0.375,17,22,0.773,8,44,23,9,5,10,22,2018-12-02,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
22,22,"Home","POR","W",111,102,38,88,0.432,11,30,0.367,24,35,0.686,15,50,25,11,4,13,19,38,84,0.452,7,24,0.292,19,23,0.826,11,48,20,7,6,18,29,2018-12-04,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
23,23,"Away","NOP","L",106,132,39,91,0.429,14,46,0.304,14,21,0.667,11,45,26,7,4,18,17,51,92,0.554,17,29,0.586,13,20,0.65,5,46,36,12,6,11,15,2018-12-05,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
24,24,"Home","HOU","W",107,104,41,83,0.494,12,30,0.4,13,16,0.813,14,44,21,9,3,15,14,39,86,0.453,15,47,0.319,11,13,0.846,10,36,20,5,3,12,19,2018-12-08,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
25,25,"Home","ORL","W",101,76,35,82,0.427,10,35,0.286,21,25,0.84,9,52,28,7,4,12,11,32,89,0.36,8,28,0.286,4,5,0.8,7,42,18,8,2,15,18,2018-12-10,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
26,26,"Home","ATL","W",114,107,35,75,0.467,12,34,0.353,32,43,0.744,4,36,22,13,5,14,16,43,93,0.462,11,33,0.333,10,14,0.714,16,44,21,7,2,21,30,2018-12-12,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
27,27,"Away","PHO","L",89,99,31,78,0.397,5,33,0.152,22,33,0.667,14,53,14,7,4,23,19,37,92,0.402,10,27,0.37,15,18,0.833,12,40,20,15,5,13,27,2018-12-13,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
28,28,"Home","SAC","L",113,120,40,96,0.417,9,35,0.257,24,31,0.774,16,53,22,6,5,14,18,46,98,0.469,9,31,0.29,19,21,0.905,11,47,20,6,7,9,26,2018-12-16,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
29,29,"Away","DEN","L",118,126,40,86,0.465,15,37,0.405,23,30,0.767,6,33,26,8,1,8,17,50,90,0.556,12,29,0.414,14,18,0.778,12,47,33,7,3,15,28,2018-12-18,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
30,30,"Away","LAC","L",121,125,43,92,0.467,10,28,0.357,25,33,0.758,16,45,24,8,0,11,30,47,83,0.566,6,20,0.3,25,31,0.806,11,40,26,5,5,12,25,2018-12-20,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
31,31,"Away","GSW","L",116,120,42,92,0.457,14,39,0.359,18,28,0.643,11,46,28,9,3,13,14,45,98,0.459,15,43,0.349,15,16,0.938,15,54,34,7,7,13,23,2018-12-22,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
32,32,"Away","POR","L",118,121,43,103,0.417,12,34,0.353,20,28,0.714,8,49,22,1,2,9,20,49,104,0.471,11,38,0.289,12,17,0.706,7,53,29,5,6,9,26,2018-12-23,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
33,33,"Home","NOP","W",122,119,39,81,0.481,12,35,0.343,32,38,0.842,8,46,23,3,13,12,25,42,90,0.467,12,27,0.444,23,30,0.767,7,39,25,4,2,10,27,2018-12-26,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
34,34,"Away","NOP","L",112,114,37,78,0.474,15,32,0.469,23,33,0.697,11,39,19,7,6,16,22,44,96,0.458,4,23,0.174,22,27,0.815,20,49,22,7,4,11,28,2018-12-28,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
35,35,"Home","OKC","W",105,103,37,81,0.457,14,39,0.359,17,22,0.773,9,49,21,8,3,23,19,40,93,0.43,9,38,0.237,14,21,0.667,7,39,17,15,2,11,23,2018-12-30,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
36,36,"Away","OKC","L",102,122,31,74,0.419,14,38,0.368,26,34,0.765,5,49,21,7,3,26,29,46,103,0.447,6,24,0.25,24,35,0.686,11,46,22,13,3,10,30,2018-12-31,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
37,37,"Away","CHO","W",122,84,44,95,0.463,18,45,0.4,16,18,0.889,12,57,31,9,4,10,14,32,90,0.356,6,32,0.188,14,19,0.737,12,46,23,4,3,14,20,2019-01-02,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
38,38,"Away","BOS","L",93,114,34,88,0.386,11,44,0.25,14,19,0.737,11,49,16,9,2,14,13,42,96,0.438,21,45,0.467,9,11,0.818,14,53,35,12,4,12,16,2019-01-04,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
39,39,"Away","PHI","L",100,106,38,88,0.432,9,31,0.29,15,23,0.652,9,49,27,4,3,15,23,39,83,0.47,6,26,0.231,22,33,0.667,8,49,31,7,5,10,20,2019-01-05,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
40,40,"Home","LAL","L",97,107,36,86,0.419,8,30,0.267,17,24,0.708,14,52,12,10,7,18,20,41,94,0.436,8,29,0.276,17,27,0.63,11,44,28,12,2,13,20,2019-01-07,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
41,41,"Home","PHO","W",104,94,30,70,0.429,12,34,0.353,32,45,0.711,8,42,21,7,5,19,17,36,84,0.429,7,25,0.28,15,21,0.714,7,37,22,10,8,15,34,2019-01-09,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
42,42,"Away","MIN","W",119,115,44,97,0.454,13,38,0.342,18,24,0.75,11,43,25,7,7,7,16,47,102,0.461,10,24,0.417,11,13,0.846,17,53,27,5,10,13,20,2019-01-11,"https://www.basketball-reference.com/teams/DAL/2019/gamelog/"
